R1	T1	R2	T2	R3	T3	R4	T4	R5	T5	R6	T6	R7	T7	R8	T8	R9	T9	R10	T10	R11	T11
1	0	1	0	1	0	1	0	1	0	6.804985785	-30.35294436	3.488043923	14.80662578	1.855870835	151.2942552	5.372470924	-140.2033276	7.937557871	-101.8337858	8.469180528	-66.53583633
0.995	6	0.997	6	0.996	6	0.998	6	0.997	6	3.389596011	-25.61145985	2.918478576	79.00634037	5.286962062	147.188025	7.096355572	-168.0842454	7.302746492	-127.4783916	5.821997567	-84.51442268
0.978	12	0.989	12	0.984	12	0.993	12	0.986	12	5.381472111	-12.42522745	4.20182736	49.02206554	3.886013392	125.2821571	4.883823903	-166.2851413	5.929302221	-112.244285	6.140918328	-63.3397417
0.951	18	0.976	18	0.963	18	0.985	18	0.969	18	8.059540219	13.96138052	8.227324607	49.69908314	6.282863313	87.06729797	2.920135441	138.2488668	2.407178713	-82.32591087	5.831724285	-24.14681274
0.914	24	0.957	24	0.935	24	0.974	24	0.946	24	5.318229228	-4.950932841	4.776690427	54.13749108	4.453414848	119.6278984	4.723963046	-174.4243864	5.270921887	-114.6888556	5.546754472	-59.70124532
0.866	30	0.933	30	0.9	30	0.96	30	0.916	30	2.985099936	-25.69227419	3.041912303	86.41932102	5.688008051	147.7408241	7.423693951	-169.9604828	7.400596128	-130.5378634	5.627487709	-88.06537268
0.809	36	0.905	36	0.857	36	0.943	36	0.88	36	1.966587002	12.46876416	4.789947719	96.95239194	7.330864283	139.5645981	8.090946075	176.9918227	6.810820338	-145.010265	3.948328976	-98.44420454
0.743	42	0.872	42	0.807	42	0.923	42	0.838	42	6.769265408	-4.913764107	5.66388078	41.46348826	3.825660595	101.3914971	3.306844591	-169.9014162	4.967759034	-98.74884501	6.490184615	-49.15839682
0.669	48	0.835	48	0.752	48	0.901	48	0.792	48	4.073401899	-10.96738029	3.858262393	67.13769169	4.989604177	134.5601843	6.050828483	-172.6415816	6.19022937	-124.4417488	5.320618245	-73.63622331
0.588	54	0.794	54	0.691	54	0.876	54	0.74	54	6.504371825	30.81419405	8.260212881	68.06103944	7.89743147	104.0244447	5.530232074	142.9516688	2.158518658	-152.4541193	3.243593041	-17.92387468
0.5	60	0.75	60	0.625	60	0.85	60	0.685	60	7.556369819	2.474959431	6.868624486	42.68193032	4.656693113	89.39314294	2.472306953	172.4157464	4.004125894	-89.29423655	6.444085332	-38.41239945
0.407	66	0.703	66	0.555	66	0.822	66	0.626	66	4.047456094	17.97554375	5.7401976	76.39865661	6.667153696	123.1940314	6.275670537	168.5193592	4.776617322	-139.8324517	3.363778101	-66.34036238
0.309	72	0.655	72	0.482	72	0.793	72	0.565	72	7.386662496	0.771130593	6.594979282	42.19479347	4.431006287	91.47434052	2.615896174	177.8220537	4.232250452	-91.54359518	6.463116811	-40.88883874
0.208	78	0.604	78	0.406	78	0.762	78	0.501	78	5.413624737	6.137488486	5.692703778	59.57788897	5.346113253	113.3323736	4.653539945	172.8551903	4.307654873	-119.442163	4.730944926	-52.46063321
0.105	84	0.552	84	0.328	84	0.731	84	0.436	84	7.470716531	-14.45196357	5.337916574	27.5108668	2.479945696	96.14992557	3.335440014	-146.0145217	6.200275173	-92.45583853	7.796578411	-52.61046256
0	90	0.5	90	0.25	90	0.7	90	0.37	90	7.982110217	28.18453411	9.283604185	60.75344483	8.113477349	93.28073452	4.795883605	128.177293	0.727513849	-129.6599243	4.57012783	-7.039351051
0.105	96	0.448	96	0.172	96	0.669	96	0.304	96	4.73781408	12.53868007	5.764590893	68.3708328	6.081311682	118.2155652	5.472711346	169.1670728	4.378006804	-131.0512351	3.926206816	-57.23545869
0.208	102	0.396	102	0.094	102	0.638	102	0.239	102	4.206453043	-8.983230337	4.028864552	65.74802815	4.968216896	132.3229374	5.881930491	-173.5885738	6.004964939	-123.8529175	5.25434814	-71.6422035
0.309	108	0.345	108	0.018	108	0.607	108	0.175	108	5.478604805	5.231285165	5.662344748	58.53300837	5.244453921	112.9411864	4.571587072	173.7269927	4.341931703	-118.086739	4.838411107	-52.34539617
0.407	114	0.297	114	0.055	114	0.578	114	0.114	114	4.824520281	-64.48900254	0.422837231	-176.7441065	5.422207884	-179.7462331	9.03986117	-151.2061048	10.23798294	-121.9792171	8.694523999	-92.78303867
0.5	120	0.25	120	0.125	120	0.55	120	0.055	120	5.59960061	11.35748668	6.201266464	61.17401858	5.792774616	110.3035136	4.6429076	166.2604772	3.802158889	-121.91503	4.399531818	-47.18716306
0.588	126	0.206	126	0.191	126	0.524	126	0	126	6.866795217	3.454074792	6.439265381	47.45150859	4.787580592	97.75083617	3.172767736	172.5075661	3.96928117	-99.36184758	5.856483905	-41.96920846
0.669	132	0.165	132	0.252	132	0.499	132	0.052	132	3.085671366	13.92434661	5.096758513	84.42665319	6.784318637	131.6080893	7.044248139	173.9491839	5.758980142	-141.467702	3.621577039	-82.14422825
0.743	138	0.128	138	0.307	138	0.477	138	0.098	138	7.771810943	-25.36400205	4.632081909	12.47934655	1.108936909	115.4969192	4.466336514	-131.8068409	7.674179069	-93.56626319	8.894912373	-59.4391656
0.809	144	0.095	144	0.357	144	0.457	144	0.14	144	3.687794435	-16.81800639	3.421846136	72.48080276	5.138911105	140.5811822	6.55733029	-170.6352738	6.699953533	-126.3369014	5.494542836	-79.19482259
0.866	150	0.067	150	0.4	150	0.44	150	0.176	150	5.360356685	-10.26005103	4.369404703	50.57883176	4.042929657	123.3966621	4.820849437	-168.5770855	5.734310388	-112.8349442	5.968980891	-62.29990854
0.914	156	0.043	156	0.435	156	0.426	156	0.206	156	5.140446739	-13.21213413	4.028334419	51.56022824	4.02289203	128.342009	5.131915515	-166.7655034	6.044275915	-114.3864799	6.047899574	-65.53790404
0.951	162	0.024	162	0.463	162	0.415	162	0.229	162	6.045445681	2.579338865	5.805767198	52.43785618	4.828428791	107.6088104	3.970012237	176.0704873	4.312943066	-109.7960723	5.384671397	-48.90605545
0.978	168	0.011	168	0.484	168	0.407	168	0.246	168	6.83392094	8.717574966	6.848189921	51.58682799	5.417378374	97.90468979	3.406323813	162.2975015	3.377545282	-102.7432647	5.381220018	-37.74831104
0.995	174	0.003	174	0.496	174	0.402	174	0.257	174	3.620769463	-10.67549872	3.809295513	73.87294478	5.378635211	137.128448	6.476722964	-174.0557463	6.367666727	-128.2467289	5.111574623	-78.05333346
1	180	0	180	0.5	180	0.4	180	0.26	180	3.989430583	-2.926366013	4.385268184	70.21705693	5.421097175	130.4312449	6.019218509	-178.0609299	5.737244182	-127.7920926	4.770561105	-71.87311766
0.995	186	0.003	186	0.496	186	0.402	186	0.257	186	5.3118245	25.19588075	6.983326846	70.71429915	7.120561979	112.2270845	5.664501535	156.4712689	3.396351472	-142.4736297	3.098330883	-41.89109283
0.978	192	0.011	192	0.484	192	0.407	192	0.246	192	4.60821348	40.59032932	7.396273186	82.23439443	8.34930854	118.6302022	7.158758523	155.2391421	4.216467481	-161.5872942	1.665083172	-53.11545549
0.951	198	0.024	198	0.463	198	0.415	198	0.229	198	6.640584716	-9.12143363	5.215125003	38.93539045	3.410485588	106.0582256	3.600712662	-163.0005264	5.464885017	-99.94061078	6.740258533	-52.9976281
0.914	204	0.043	204	0.435	204	0.426	204	0.206	204	3.055188854	-24.29736238	3.086148779	84.70936667	5.628378471	146.9081097	7.324127169	-170.1167133	7.311135578	-130.1631173	5.594494929	-87.08436102
0.866	210	0.067	210	0.4	210	0.44	210	0.176	210	7.492564164	-3.176944506	6.335394491	38.16582844	3.914936976	90.27734956	2.552946156	-170.6392725	4.745400769	-90.22881201	6.879630826	-43.61190484
0.809	216	0.095	216	0.357	216	0.457	216	0.14	216	5.485078178	10.85049842	6.090414714	61.70405365	5.763940262	111.5052824	4.72713386	167.3831437	3.916468532	-122.6504912	4.382792466	-48.79799841
0.743	222	0.128	222	0.307	222	0.477	222	0.098	222	3.897794997	-31.33205975	2.448056007	70.19695629	4.764374107	151.0897425	6.971755207	-163.0988171	7.60297299	-123.2677506	6.410843616	-82.56680316
0.669	228	0.165	228	0.252	228	0.499	228	0.052	228	5.976245114	4.849567462	5.94278402	54.45429259	5.076236268	107.7213942	4.076578361	172.880737	4.125204829	-111.9973088	5.154204318	-47.909963
0.588	234	0.206	234	0.191	234	0.524	234	0	234	5.447061561	15.04827695	6.373129886	64.33489497	6.165558183	111.300855	4.946223407	163.3860077	3.67679495	-127.5283168	4.015158519	-46.57048559
0.5	240	0.25	240	0.125	240	0.55	240	0.055	240	5.377034117	3.295104699	5.454205341	58.27389315	5.105576516	114.6802779	4.642155449	176.182542	4.551235789	-117.9312953	4.939148868	-54.50048322
0.407	246	0.297	246	0.055	246	0.578	246	0.114	246	4.690805788	-6.197091873	4.393337617	60.49982239	4.761036377	126.5693795	5.360574864	-174.5796802	5.606960532	-120.3916342	5.298297314	-65.90072713
0.309	252	0.345	252	0.018	252	0.607	252	0.175	252	4.711640491	-8.778574136	4.20594468	59.15523254	4.596249541	128.2189522	5.391719067	-172.3358449	5.794844257	-119.3868715	5.490417177	-66.87331746
0.208	258	0.396	258	0.094	258	0.638	258	0.239	258	3.629919329	29.54917412	6.155542288	83.86561847	7.504188411	125.3548572	7.072524305	165.3380257	5.030528156	-149.6746955	2.623751259	-75.48080725
0.105	264	0.448	264	0.172	264	0.669	264	0.304	264	5.957668076	-5.137448793	5.119087171	47.8734099	4.107031418	112.4180683	4.10111157	-172.5256643	5.109586241	-107.8505175	5.953588662	-54.77769387
0	270	0.5	270	0.25	270	0.7	270	0.37	270	5.357121284	23.02686049	6.869860831	69.28260157	6.920422299	111.7973557	5.485732621	157.5428777	3.405440208	-138.9899313	3.301479372	-42.59833459
0.105	276	0.552	276	0.328	276	0.731	276	0.436	276	3.849235283	-6.634816578	4.104599861	71.18991043	5.34912895	133.4180523	6.192535286	-175.8815111	6.026306125	-127.5954702	4.954889001	-74.50816627
0.208	282	0.604	282	0.406	282	0.762	282	0.501	282	6.250507136	2.755014992	5.954348126	51.04839646	4.798065719	105.1841168	3.768711392	175.427644	4.221109264	-107.3208354	5.50005367	-47.11021844
0.309	288	0.655	288	0.482	288	0.793	288	0.565	288	7.122243357	21.73325011	8.092332877	59.42758242	7.023251532	97.23103612	4.29031139	142.0696747	1.909782937	-117.5738074	4.45051235	-22.35687318
0.407	294	0.703	294	0.555	294	0.822	294	0.626	294	3.399404234	-24.81699496	2.961769705	78.59873696	5.283680965	146.6680368	7.06019537	-168.340734	7.254669394	-127.481661	5.786624513	-84.19298674
0.5	300	0.75	300	0.625	300	0.85	300	0.685	300	3.510556672	-7.830547063	3.974012188	75.75586452	5.569071152	136.2393152	6.539691844	-175.8058311	6.268875872	-129.9120332	4.906834424	-78.50528476
0.588	306	0.794	306	0.691	306	0.876	306	0.74	306	4.100997604	28.32579621	6.373384129	79.97048372	7.383794908	121.7918442	6.679744406	163.0637454	4.562580567	-148.4952117	2.629969473	-65.03637179
0.669	312	0.835	312	0.752	312	0.901	312	0.792	312	4.0963821	12.30097747	5.415409143	73.89378025	6.26923321	123.911328	6.060825359	171.720975	4.918057965	-135.3316414	3.769703608	-66.51373368
0.743	318	0.872	318	0.807	318	0.923	318	0.838	318	6.233583075	-21.56315724	3.87689092	31.73341113	2.656529645	129.862245	4.786574041	-151.4039046	6.836560963	-104.4216593	7.396735716	-63.52677656
0.809	324	0.905	324	0.857	324	0.943	324	0.88	324	3.939488527	-19.33551628	3.261446947	68.08475118	4.843984339	141.3439508	6.41668653	-168.2713691	6.786486549	-123.8754402	5.764481902	-77.80907855
0.866	330	0.933	330	0.9	330	0.96	330	0.916	330	3.925445077	26.14644317	6.14580853	80.41107998	7.247992362	123.2709677	6.703281333	165.0453279	4.751014334	-146.8168266	2.794585196	-68.51017974
0.914	336	0.957	336	0.935	336	0.974	336	0.946	336	6.118132501	-1.706071203	5.502451987	48.92425071	4.372959394	108.4588217	3.88884781	-177.3153367	4.719926348	-107.0584854	5.78203327	-51.29686931
0.951	342	0.976	342	0.963	342	0.985	342	0.969	342	3.940450346	16.07172369	5.571553295	76.65025576	6.570981081	124.4123771	6.308591081	170.0424129	4.927805215	-138.9025649	3.485351918	-68.33991303
0.978	348	0.989	348	0.984	348	0.993	348	0.986	348	7.583015573	2.053266303	6.853049261	42.18286436	4.602479244	89.02711074	2.437044771	173.5991966	4.059190587	-88.89688252	6.500653599	-38.63173307
0.995	354	0.997	354	0.996	354	0.998	354	0.997	354	3.513202145	-5.097911612	4.140355075	76.03333589	5.670052051	134.8767011	6.508186348	-177.2506567	6.128338984	-130.7544674	4.74864071	-77.85184859
1	360	1	360	1	360	1	360	1	360
